641754,18
683428,7
183394,14
722279,6
642351,7
642262,16
722476,2
722475,2
642181,8
187109,13
722277,6
642174,1
722476,12
642275,8
640007,8
642049,1
740069,12
624367,7
642091,2
168621,13
642118,19
642033,20
741446,8
642049,11
641876,16
641910,14
641253,4
785458,2
641575,8
642262,6
641795,6
788272,20
640862,1
830854,7
641243,13
640307,8
642025,18
721219,14
642108,8
168621,3
551266,10
641638,8
785501,7
641289,1
800525,12
683428,17
642185,7
805949,16
641910,4
722278,6
695897,11
178732,20
642280,10
641852,3
641900,3
641629,6
642033,10
722268,16
641290,4
640337,17
746282,13
642181,18
639682,13
641809,3
174763,14
642105,4
722486,12
722486,2
641632,14
641629,16
722275,6
641900,13
642235,17
642011,20
642275,18
785501,17
640007,18
641430,16
641634,1
747682,11
627437,9
722072,16
641554,11
639601,9
641876,6
642011,10
640951,8
641289,11
640679,16
641430,6
641549,2
722280,6
808170,10
722280,16
642301,8
642185,17
640771,13
640994,7
800525,2
641847,18
788272,10
641847,8
678316,16
641880,18
642008,8
712844,14
625738,3
641517,16
642174,11
804352,2
642118,9
641355,1
722273,16
640078,18
174636,18
624367,17
640758,3
641733,13
641751,11
695718,9
722275,16
174758,4
685899,11
834259,16
640951,18
722475,12
712844,4
641568,12
640921,18
722276,16
640679,6
551266,20
641227,16
641557,8
641300,20
641453,16
641490,7
722072,6
641632,4
641677,18
641495,18
641234,10
808709,6
641554,1
627437,19
640921,8
641227,6
183394,4
639640,18
641481,14
722276,6
722481,2
641548,8
642351,17
641253,14
722277,16
722273,6
641568,2
642301,18
722268,6
641542,14
641960,17
641960,7
791971,11
641733,3
641880,8
639640,8
791971,1
641557,18
641542,4
640771,3
641549,12
641411,9
641751,1
746282,3
640758,13
641535,14
642280,20
641575,18
785458,12
641481,4
641470,9
641626,16
641650,10
641355,11
640573,15
813977,6
642350,4
642135,16
722266,16
642135,6
641470,19
641508,3
642235,7
641431,19
178732,10
832360,17
641495,8
640677,9
641517,6
740069,2
174636,8
640337,7
685899,1
722278,16
722484,11
641687,16
641634,11
641677,8
722279,16
640677,19
641411,19
642350,14
641650,20
641453,6
832360,7
187109,3
641852,13
722629,20
640078,8
641809,13
174763,4
641490,17
641772,16
639682,3
641300,10
722484,1
641290,14
174758,14
722274,6
813977,16
641431,9
642091,12
641741,20
640505,8
641535,4
641638,18
722629,10
722274,16
641687,6
834259,6
695897,1
640505,18
640862,11
640573,5
628168,13
642025,8
642026,18
641548,18
641626,6
741446,18
628168,3
722481,12
625738,13
808170,20
808709,16
642105,14
640994,17
747682,1
641508,13
642108,18
641795,16
830854,17
641772,6
639601,19
642026,8
721219,4
641243,3
641234,20
642008,18
641754,8
805949,6
722266,6
640307,18
695718,19
678316,6
641741,10
804352,12
